"","Lot Frontage","Lot Area","Year Built","Year Remod/Add","Mas Vnr Area","BsmtFin SF 1","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","TotRms AbvGrd","Fireplaces","Garage Yr Blt","Garage Cars","Garage Area","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Misc Val","Mo Sold","Yr Sold","Longitude","Latitude","MS SubClass","MS Zoning","Street","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin Type 2","Heating","Heating QC","Central Air","Electrical","Kitchen Qual","Functional","Fireplace Qu","Garage Type","Garage Finish","Garage Qual","Garage Cond","Paved Drive","Sale Type","Sale Condition","SalePrice"
"688",73,9801,2007,2007,156,0,0,1341,1341,1341,520,0,1861,0,0,3,0,3,1,7,1,2007,3,851,144,60,0,0,0,0,0,7,2008,-93.64403,42.055517,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","WD ","Normal","257000"
"690",80,9428,2007,2008,310,729,0,226,955,955,919,0,1874,1,0,2,1,3,1,8,1,2007,3,880,168,108,0,0,0,0,0,2,2008,-93.644024,42.054227,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","297900"
"691",78,9262,2008,2009,194,0,0,1573,1573,1578,0,0,1578,0,0,2,0,3,1,7,1,2008,3,840,0,36,0,0,0,0,0,5,2009,-93.643944,42.054152,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","CemntBd","CmentBd","Stone","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","287090"
"692",79,9416,2007,2007,205,1126,0,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,2007,3,786,171,138,0,0,266,0,0,9,2007,-93.643836,42.054153,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Hip","CompShg","CemntBd","CmentBd","Stone","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","311872"
"693",85,10130,2007,2007,260,1294,0,408,1702,1702,0,0,1702,1,0,2,0,3,1,7,1,2007,3,844,0,69,0,0,0,0,0,3,2009,-93.642579,42.054151,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","275500"
"694",83,9849,2007,2007,0,0,0,1689,1689,1689,0,0,1689,0,0,2,0,3,1,7,0,2007,3,954,0,56,0,0,0,0,0,6,2007,-93.64248,42.054153,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","6","Hip","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","248328"
"695",85,10000,2006,2006,410,0,0,1588,1588,1588,0,0,1588,0,0,2,0,3,1,7,1,2006,3,825,144,45,0,0,0,0,0,12,2007,-93.642344,42.054157,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","Gd","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","227000"
"697",73,8688,2005,2005,228,0,0,1616,1616,1616,0,0,1616,0,0,2,0,3,1,7,0,2005,3,834,208,59,0,0,0,0,0,4,2006,-93.643635,42.053183,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","232000"
"698",74,8847,2005,2005,148,769,0,769,1538,1538,0,0,1538,1,0,2,0,3,1,7,0,2005,2,484,146,40,0,0,0,0,0,12,2007,-93.643544,42.053185,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","260000"
"699",76,9158,2007,2007,140,0,0,1496,1496,1496,0,0,1496,0,0,2,0,3,1,7,0,2007,2,474,168,130,0,0,0,0,0,6,2007,-93.643449,42.053186,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","CemntBd","CmentBd","Stone","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","225000"
"700",76,9139,2006,2006,206,379,0,1043,1422,1432,0,0,1432,0,0,2,0,3,1,7,1,2006,2,492,297,50,0,0,0,0,0,9,2009,-93.64236,42.053212,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","245000"
"701",70,8251,2005,2006,143,778,0,716,1494,1506,0,0,1506,1,0,2,0,3,1,7,1,2005,2,672,192,35,0,0,0,0,0,4,2007,-93.642197,42.053227,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","Gd","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","249000"
"702",75,9675,2005,2005,0,341,0,772,1113,1113,858,0,1971,0,0,2,1,3,1,8,1,2005,2,689,0,48,0,0,0,0,0,2,2009,-93.641251,42.053258,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","253000"
"703",75,10084,2004,2005,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,0,0,8,2007,-93.641251,42.053108,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","307000"
"705",85,10936,2006,2006,60,0,0,1504,1504,1504,0,0,1504,0,0,2,0,3,1,7,0,2006,2,510,144,0,0,0,0,0,0,9,2006,-93.643811,42.053033,"020","RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Feedr","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","199000"
"706",70,9605,2006,2006,0,0,0,982,982,982,995,0,1977,0,0,2,1,3,1,7,0,2006,3,574,240,53,0,0,0,0,0,7,2007,-93.643748,42.053032,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Family","250000"
"708",75,8778,2006,2006,0,0,0,1302,1302,1302,528,0,1830,0,0,2,1,3,1,7,0,2006,3,859,0,40,0,0,0,0,0,3,2007,-93.642275,42.053067,"060","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","BuiltIn","RFn","TA","TA","Y","WD ","Normal","221300"
"709",92,9215,2009,2010,0,0,0,1218,1218,1218,0,0,1218,0,0,2,0,2,1,4,0,2009,2,676,0,136,0,0,0,0,0,4,2010,-93.649976,42.051827,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Hip","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","204500"
"710",72,8640,2009,2009,0,822,0,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2009,2,644,168,108,0,0,0,0,0,7,2009,-93.650321,42.051804,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","New","Partial","252678"
"711",72,8640,2007,2007,0,24,0,1314,1338,1338,0,0,1338,0,0,2,0,3,1,6,0,2007,2,598,0,141,0,0,0,0,0,11,2007,-93.650341,42.051802,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","208900"
"712",72,8640,2006,2006,0,24,0,1254,1278,1278,0,0,1278,0,0,2,0,2,1,5,0,2006,2,584,0,60,0,0,0,0,0,10,2006,-93.650361,42.0518,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","198600"
"713",75,9000,2008,2008,0,0,0,768,768,786,804,0,1590,0,0,2,1,3,1,6,0,2008,2,676,0,30,0,0,0,0,0,6,2009,-93.6504,42.051797,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","210000"
"714",75,9000,2006,2007,0,0,0,1335,1335,1335,0,0,1335,0,0,2,0,3,1,6,0,2007,2,575,0,210,0,0,0,0,0,6,2007,-93.65042,42.051795,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","210400"
"715",75,7862,2009,2009,0,27,0,1191,1218,1218,0,0,1218,0,0,2,0,2,1,4,0,2009,2,676,0,102,0,0,0,0,0,9,2009,-93.65044,42.051793,"020","FV","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","208300"
"717",72,8640,2007,2008,0,24,0,1339,1363,1372,0,0,1372,0,0,2,0,3,1,6,0,2008,2,588,192,113,0,0,0,0,0,7,2008,-93.650397,42.051646,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","212700"
"718",72,8640,2009,2009,72,936,0,364,1300,1314,0,0,1314,1,0,2,0,3,1,6,0,2009,2,552,135,112,0,0,0,0,0,9,2009,-93.650377,42.051648,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","CemntBd","CmentBd","Stone","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","229456"
"719",72,8640,2007,2008,0,0,0,1372,1372,1372,0,0,1372,0,0,2,0,3,1,6,0,2008,2,529,0,140,0,0,0,0,0,5,2008,-93.650358,42.05165,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","250580"
"720",72,8640,2008,2008,0,0,0,1402,1402,1402,0,0,1402,0,0,2,0,3,1,7,0,2008,2,625,205,126,0,0,0,0,0,5,2009,-93.650338,42.051652,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","7","5","Hip","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","229800"
"721",72,8640,2009,2009,0,24,0,732,756,764,783,0,1547,0,0,2,1,3,1,7,0,2009,2,614,169,45,0,0,0,0,0,6,2010,-93.650318,42.051653,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Unf","TA","TA","Y","Con","Normal","215200"
"722",72,8640,2007,2007,0,350,0,546,896,896,896,0,1792,0,0,2,1,3,1,8,0,2007,2,590,184,96,0,0,0,0,0,11,2007,-93.650299,42.051655,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","255000"
"724",75,9000,2008,2008,36,1078,0,488,1566,1566,0,0,1566,1,0,2,0,3,1,7,0,2008,2,750,144,168,0,0,0,0,0,4,2010,-93.647105,42.050084,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","262500"
"725",75,9000,2006,2006,0,0,0,1088,1088,1088,871,0,1959,0,0,2,1,3,1,8,1,2006,3,1025,208,46,0,0,0,0,0,12,2007,-93.647584,42.050206,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","270000"
"726",75,9000,2007,2007,0,64,0,1120,1184,1184,1426,0,2610,0,0,2,1,4,1,11,1,2007,2,550,208,364,0,0,0,0,0,8,2007,-93.647933,42.050301,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","CemntBd","CmentBd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","New","Partial","303477"
"727",112,12606,2007,2008,120,0,0,1530,1530,1530,0,0,1530,0,0,2,0,3,1,7,1,2008,3,984,212,136,0,0,0,0,0,5,2009,-93.648275,42.050406,"020","FV","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","9","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","250000"
"729",85,9187,2009,2009,162,1121,0,645,1766,1766,0,0,1766,1,0,2,1,2,1,7,1,2009,3,478,195,130,0,0,0,0,0,10,2009,-93.648809,42.051717,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","9","5","Gable","CompShg","CemntBd","CmentBd","Stone","Ex","TA","PConc","Ex","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","370878"
"730",75,7500,2006,2007,238,24,0,1348,1372,1448,0,0,1448,0,0,2,0,2,1,6,1,2006,2,692,0,140,0,0,0,0,0,6,2009,-93.648778,42.051795,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","238500"
"732",100,13162,2006,2006,0,1836,0,200,2036,2036,604,0,2640,1,0,3,1,3,1,11,1,2006,3,792,0,265,0,0,0,0,0,11,2006,-93.64407,42.052265,"060","FV","Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Feedr","Norm","1Fam","2Story","9","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial","405749"
"733",84,11096,2006,2006,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006,3,826,0,146,0,0,0,0,0,7,2007,-93.643974,42.052269,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","249700"
"734",81,11216,2006,2006,0,0,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,2006,2,776,0,140,0,0,0,0,0,6,2006,-93.643898,42.052272,"020","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","Gd","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial","232600"
"735",75,9803,2005,2005,0,400,0,466,866,866,902,0,1768,0,0,2,1,3,1,7,0,2005,2,603,0,108,0,0,0,0,0,2,2008,-93.643836,42.052278,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","226700"
"736",85,11003,2008,2008,160,765,0,252,1017,1026,981,0,2007,1,0,2,1,3,1,10,1,2008,3,812,168,52,0,0,0,0,0,4,2009,-93.643001,42.052337,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","10","5","Gable","CompShg","VinylSd","VinylSd","Stone","Ex","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Ex","Attchd","Fin","TA","TA","Y","WD ","Normal","310000"
"737",84,10603,2006,2006,121,682,0,218,900,909,886,0,1795,1,0,2,1,3,1,8,1,2006,3,782,168,45,0,0,0,0,0,7,2009,-93.64287,42.052346,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","Gd","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","270000"
"738",100,12552,2004,2005,0,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,0,0,5,2010,-93.642773,42.052347,"060","FV","Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","254900"
"739",75,9375,2003,2004,768,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2003,2,648,140,45,0,0,0,0,0,8,2008,-93.64119,42.052456,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Ex","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","250000"
"740",85,10625,2005,2005,0,0,0,1026,1026,1026,932,0,1958,0,0,2,1,3,1,9,1,2005,3,936,154,210,0,0,0,0,0,7,2008,-93.640924,42.052275,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","CemntBd","CmentBd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","250000"
"741",84,10207,2007,2007,0,0,0,874,874,874,887,0,1761,0,0,3,0,3,1,7,0,2007,2,578,144,105,0,0,0,0,0,8,2007,-93.64397,42.052119,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","6","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","Fin","TA","TA","Y","New","Partial","227875"
"742",85,10574,2005,2006,0,0,0,1082,1082,1082,871,0,1953,0,0,2,1,3,1,9,1,2005,3,1043,160,50,0,0,0,0,0,5,2009,-93.643842,42.052127,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","252000"
"743",85,10800,2007,2008,100,789,0,245,1034,1050,1028,0,2078,1,0,2,1,3,1,8,1,2008,3,836,0,102,0,0,0,0,0,4,2008,-93.6430423,42.0520487,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","New","Partial","339750"
"744",84,10728,2006,2006,0,0,0,1095,1095,1095,844,0,1939,0,0,2,1,3,1,8,1,2006,3,1053,192,51,0,0,0,0,0,8,2006,-93.642862,42.052346,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn","Unf","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial","266000"
"745",84,10440,2005,2005,0,1414,0,54,1468,1468,0,0,1468,1,0,2,0,2,1,6,1,2005,2,528,0,102,0,0,216,0,0,5,2010,-93.642224,42.051429,"020","FV","Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","Fin","TA","TA","Y","WD ","Normal","271500"
"746",65,8125,2005,2006,0,0,0,756,756,756,797,0,1553,0,0,2,1,3,1,6,0,2005,2,615,0,45,0,0,0,0,0,3,2006,-93.642309,42.051355,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","7","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","New","Partial","186500"
"747",65,8125,2005,2005,0,0,0,858,858,858,858,0,1716,0,0,2,1,3,1,7,0,2005,2,615,0,53,0,0,0,0,0,2,2006,-93.642374,42.051426,"060","FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","6","5","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","200825"
